# Data for individuals that have both genotypes and trait values
# N = 140
# 
# KCF
# 04/06/21
ind_code	Pal	Ste	ol	lin	sat	unsat	lat	lon	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	pop_code	usda_pop	deme	block
531035-16	3.338	0.616	69.196	26.85	3.954	96.046	46.6	-108.53333333	75	158	37	9015	302	-123	425	167	-29	194	-39	350	67	10	61	165	36	133	36	MT1	531035	north	3
531035-17	3.83742	0.32916	39.92563	55.90778	4.16658	95.83341	46.6	-108.53333333	75	158	37	9015	302	-123	425	167	-29	194	-39	350	67	10	61	165	36	133	36	MT1	531035	north	3
531035-2	3.72905	0.63425	40.47127	55.16542	4.3633	95.63669	46.6	-108.53333333	75	158	37	9015	302	-123	425	167	-29	194	-39	350	67	10	61	165	36	133	36	MT1	531035	north	1
531035-22	4.41927	1.98607	35.75503	57.83963	6.40534	93.59466	46.6	-108.53333333	75	158	37	9015	302	-123	425	167	-29	194	-39	350	67	10	61	165	36	133	36	MT1	531035	north	4
531035-24	6.92079	1.78267	31.50614	59.7904	8.70346	91.29654	46.6	-108.53333333	75	158	37	9015	302	-123	425	167	-29	194	-39	350	67	10	61	165	36	133	36	MT1	531035	north	4
531035-4	3.75852	0.71497	50.04765	45.47785	4.47349	95.5255	46.6	-108.53333333	75	158	37	9015	302	-123	425	167	-29	194	-39	350	67	10	61	165	36	133	36	MT1	531035	north	1
531035-5	2.715	0.794	40.599	55.893	3.509	96.492	46.6	-108.53333333	75	158	37	9015	302	-123	425	167	-29	194	-39	350	67	10	61	165	36	133	36	MT1	531035	north	1
531035-6	4.13343	0.61817	40.42116	54.82724	4.7516	95.2484	46.6	-108.53333333	75	158	37	9015	302	-123	425	167	-29	194	-39	350	67	10	61	165	36	133	36	MT1	531035	north	2
531035-7	4.81487	0.80561	37.86396	56.51556	5.62048	94.37952	46.6	-108.53333333	75	158	37	9015	302	-123	425	167	-29	194	-39	350	67	10	61	165	36	133	36	MT1	531035	north	2
531035-8	2.942	1.285	31.584	64.189	4.227	95.773	46.6	-108.53333333	75	158	37	9015	302	-123	425	167	-29	194	-39	350	67	10	61	165	36	133	36	MT1	531035	north	2
