# Full population codes and coordinages for the 286 individuals sampled.
# Merged in R from Table1 and the ind_codes.
#
# KCF
# 02/17/21
usda_pop	ind_code	pop_code	Region	Country	Lat	Lon
613750	613750-3	ND1	North_Dakota	USA	46.879	−102.789
613750	613750-4	ND1	North_Dakota	USA	46.879	−102.789
613750	613750-5	ND1	North_Dakota	USA	46.879	−102.789
613750	613750-6	ND1	North_Dakota	USA	46.879	−102.789
613750	613750-7	ND1	North_Dakota	USA	46.879	−102.789
613750	613750-8	ND1	North_Dakota	USA	46.879	−102.789
613750	613750-9	ND1	North_Dakota	USA	46.879	−102.789
649806	649806-1	WY1	Wyoming	USA	41.418	−104.098
649806	649806-10	WY1	Wyoming	USA	41.418	−104.098
649806	649806-11	WY1	Wyoming	USA	41.418	−104.098
649806	649806-12	WY1	Wyoming	USA	41.418	−104.098
649806	649806-13	WY1	Wyoming	USA	41.418	−104.098
649806	649806-14	WY1	Wyoming	USA	41.418	−104.098
649806	649806-15	WY1	Wyoming	USA	41.418	−104.098
649806	649806-16	WY1	Wyoming	USA	41.418	−104.098
649806	649806-17	WY1	Wyoming	USA	41.418	−104.098
649806	649806-18	WY1	Wyoming	USA	41.418	−104.098
649806	649806-19	WY1	Wyoming	USA	41.418	−104.098
649806	649806-2	WY1	Wyoming	USA	41.418	−104.098
649806	649806-20	WY1	Wyoming	USA	41.418	−104.098
649806	649806-3	WY1	Wyoming	USA	41.418	−104.098
649806	649806-4	WY1	Wyoming	USA	41.418	−104.098
649806	649806-5	WY1	Wyoming	USA	41.418	−104.098
649806	649806-6	WY1	Wyoming	USA	41.418	−104.098
649806	649806-7	WY1	Wyoming	USA	41.418	−104.098
649806	649806-8	WY1	Wyoming	USA	41.418	−104.098
649806	649806-9	WY1	Wyoming	USA	41.418	−104.098
659440	659440-10	NE2	Nebraska	USA	41.211	−101.649
659440	659440-11	NE2	Nebraska	USA	41.211	−101.649
659440	659440-12	NE2	Nebraska	USA	41.211	−101.649
659440	659440-13	NE2	Nebraska	USA	41.211	−101.649
659440	659440-16	NE2	Nebraska	USA	41.211	−101.649
659440	659440-17	NE2	Nebraska	USA	41.211	−101.649
659440	659440-18	NE2	Nebraska	USA	41.211	−101.649
659440	659440-19	NE2	Nebraska	USA	41.211	−101.649
659440	659440-2	NE2	Nebraska	USA	41.211	−101.649
659440	659440-20	NE2	Nebraska	USA	41.211	−101.649
659440	659440-21	NE2	Nebraska	USA	41.211	−101.649
659440	659440-22	NE2	Nebraska	USA	41.211	−101.649
659440	659440-25	NE2	Nebraska	USA	41.211	−101.649
659440	659440-3	NE2	Nebraska	USA	41.211	−101.649
659440	659440-4	NE2	Nebraska	USA	41.211	−101.649
659440	659440-5	NE2	Nebraska	USA	41.211	−101.649
659440	659440-6	NE2	Nebraska	USA	41.211	−101.649
659440	659440-7	NE2	Nebraska	USA	41.211	−101.649
659440	659440-8	NE2	Nebraska	USA	41.211	−101.649
659440	659440-9	NE2	Nebraska	USA	41.211	−101.649
664692	664692-1	TX2	Texas	USA	31.189	−103.578
664692	664692-10	TX2	Texas	USA	31.189	−103.578
664692	664692-11	TX2	Texas	USA	31.189	−103.578
664692	664692-15	TX2	Texas	USA	31.189	−103.578
664692	664692-16	TX2	Texas	USA	31.189	−103.578
664692	664692-17	TX2	Texas	USA	31.189	−103.578
664692	664692-18	TX2	Texas	USA	31.189	−103.578
664692	664692-19	TX2	Texas	USA	31.189	−103.578
664692	664692-2	TX2	Texas	USA	31.189	−103.578
664692	664692-20	TX2	Texas	USA	31.189	−103.578
664692	664692-22	TX2	Texas	USA	31.189	−103.578
664692	664692-24	TX2	Texas	USA	31.189	−103.578
664692	664692-25	TX2	Texas	USA	31.189	−103.578
664692	664692-26	TX2	Texas	USA	31.189	−103.578
664692	664692-3	TX2	Texas	USA	31.189	−103.578
664692	664692-4	TX2	Texas	USA	31.189	−103.578
664692	664692-5	TX2	Texas	USA	31.189	−103.578
664692	664692-7	TX2	Texas	USA	31.189	−103.578
664692	664692-8	TX2	Texas	USA	31.189	−103.578
664692	664692-9	TX2	Texas	USA	31.189	−103.578
